# LAMMPS data file written by OVITO Basic 3.12.2

103363 atoms
4 atom types

-40.1340021241 243.1674348179 xlo xhi
-6.8836823031 390.2873458122 ylo yhi
-40.1340021241 150.0 zlo zhi

Atoms  # atomic

255974 3 1.43174 21.3503 44.3021
255973 3 0.205011 20.7548 43.9906
284027 4 0.265247 19.9375 43.2569
255980 3 2.65641 20.8592 44.0
284030 4 2.7717 20.0259 43.3829
284057 4 24.0803 19.0051 44.2545
284060 4 26.8126 18.9981 44.0912
284524 4 -3.08616 20.5859 44.8276
255971 3 -0.998608 21.2384 44.4346
255970 3 -2.05165 20.3542 44.638
284525 4 -1.93052 19.2659 44.7431
256007 3 8.54051 20.7372 46.146
255992 3 6.12782 20.8798 45.5705
255981 3 3.81676 21.2659 44.6573
256006 3 7.31608 20.1241 45.6368
284036 4 7.27186 19.0183 45.3322
255991 3 4.90641 20.4342 45.0183
284033 4 4.8678 19.4205 44.6049
256076 3 15.8149 20.5983 46.5341
256026 3 10.9552 20.6694 46.4232
256048 3 12.1197 19.9179 46.567
256049 3 13.3513 20.5482 46.5947
256075 3 14.5984 19.8831 46.7427
284045 4 14.6761 18.8643 46.9958
256025 3 9.70643 20.0027 46.2631
284039 4 9.71497 18.9558 46.2816
284042 4 12.0865 18.839 46.7234
256181 3 22.9912 20.5731 45.415
256107 3 18.2012 20.646 45.9975
256180 3 21.7733 19.9553 45.3501
256142 3 20.6081 20.6106 45.6263
256141 3 19.3773 19.9918 45.5711
256106 3 16.9972 20.017 46.0215
284048 4 17.0752 18.9464 45.8549
284051 4 19.3 19.0283 45.0862
284054 4 21.7142 18.8875 44.9822
256224 3 25.4225 20.6116 44.978
256223 3 24.1632 19.9898 44.8407
256322 3 30.1901 20.5213 45.1116
256271 3 27.8117 20.4804 45.2147
256321 3 29.0314 19.7999 45.2148
256270 3 26.6462 19.9623 44.6344
284063 4 29.1318 18.784 45.3878
256499 3 37.436 20.3689 45.8227
256436 3 35.0126 20.3426 45.6906
256377 3 32.6477 20.4361 45.3775
256498 3 36.2427 19.7383 45.5114
256435 3 33.8343 19.773 45.2494
256376 3 31.4323 19.8201 45.103
284066 4 31.3715 18.7297 44.8803
284072 4 36.3025 18.8894 44.8605
284069 4 33.821 18.8857 44.6228
256792 3 44.6479 21.2132 47.7428
256712 3 44.6577 19.8177 47.425
256713 3 42.2142 21.2986 47.3736
256638 3 39.7961 21.4671 46.8546
256566 3 39.8259 20.1673 46.4225
256637 3 42.1952 19.9486 46.997
256711 3 43.3787 19.261 47.1175
256636 3 40.9728 19.3868 46.5428
284081 4 43.3418 18.1339 47.0043
256565 3 38.6225 19.6186 45.927
284075 4 38.728 18.7179 45.3382
284078 4 40.9807 18.3084 46.1798
257053 3 51.8977 21.0348 48.3387
256961 3 51.9195 19.6983 48.0802
256962 3 49.4709 21.1107 48.1086
256875 3 47.0783 21.1505 47.8777
256874 3 49.4272 19.7216 47.8582
256791 3 47.0851 19.7512 47.7136
256790 3 45.8653 19.1323 47.5474
256873 3 48.2425 19.053 47.7324
284084 4 45.8481 18.0201 47.6308
256960 3 50.6718 19.0021 47.9006
284090 4 50.7275 17.8356 47.7616
