LAMMPS data file via write_data, version 7 Feb 2024, timestep = 50000, units = metal

19576 atoms
1 atom types

-66.74 172.52 xlo xhi
-20 201.796 ylo yhi
-5 42.996 zlo zhi

Masses

1 12.011

Atoms # atomic

33 1 -19.68 34.0868 15 0 0 0
35 1 -20.91 36.2172 15 0 0 0
36 1 -19.68 36.9273 15 0 0 0
37 1 -22.14 38.3476 15 0 0 0
38 1 -20.91 39.0577 15 0 0 0
39 1 -23.37 40.478 15 0 0 0
40 1 -22.14 41.1882 15 0 0 0
116 1 -19.68 38.3476 15 0 0 0
118 1 -20.91 40.478 15 0 0 0
119 1 -19.68 41.1882 15 0 0 0
43 1 -25.83 44.7389 15 0 0 0
45 1 -27.06 46.8693 15 0 0 0
46 1 -25.83 47.5794 15 0 0 0
41 1 -24.6 42.6084 15 0 0 0
42 1 -23.37 43.3186 15 0 0 0
44 1 -24.6 45.449 15 0 0 0
120 1 -22.14 42.6084 15 0 0 0
121 1 -20.91 43.3186 15 0 0 0
122 1 -23.37 44.7389 15 0 0 0
123 1 -22.14 45.449 15 0 0 0
124 1 -24.6 46.8693 15 0 0 0
125 1 -23.37 47.5794 15 0 0 0
203 1 -19.68 42.6084 15 0 0 0
205 1 -20.91 44.7389 15 0 0 0
206 1 -19.68 45.449 15 0 0 0
207 1 -22.14 46.8693 15 0 0 0
208 1 -20.91 47.5794 15 0 0 0
294 1 -19.68 46.8693 15 0 0 0
47 1 -28.29 48.9997 15 0 0 0
48 1 -27.06 49.7099 15 0 0 0
49 1 -29.52 51.1301 15 0 0 0
50 1 -28.29 51.8403 15 0 0 0
51 1 -30.75 53.2606 15 0 0 0
126 1 -25.83 48.9997 15 0 0 0
128 1 -27.06 51.1301 15 0 0 0
129 1 -25.83 51.8403 15 0 0 0
130 1 -28.29 53.2606 15 0 0 0
213 1 -25.83 53.2606 15 0 0 0
127 1 -24.6 49.7099 15 0 0 0
209 1 -23.37 48.9997 15 0 0 0
210 1 -22.14 49.7099 15 0 0 0
211 1 -24.6 51.1301 15 0 0 0
212 1 -23.37 51.8403 15 0 0 0
296 1 -20.91 48.9997 15 0 0 0
297 1 -19.68 49.7099 15 0 0 0
298 1 -22.14 51.1301 15 0 0 0
299 1 -20.91 51.8403 15 0 0 0
300 1 -23.37 53.2606 15 0 0 0
389 1 -19.68 51.1301 15 0 0 0
391 1 -20.91 53.2606 15 0 0 0
55 1 -33.21 57.5214 15 0 0 0
57 1 -34.44 59.6518 15 0 0 0
52 1 -29.52 53.9707 15 0 0 0
53 1 -31.98 55.391 15 0 0 0
54 1 -30.75 56.1011 15 0 0 0
56 1 -31.98 58.2315 15 0 0 0
131 1 -27.06 53.9707 15 0 0 0
132 1 -29.52 55.391 15 0 0 0
133 1 -28.29 56.1011 15 0 0 0
134 1 -30.75 57.5214 15 0 0 0
135 1 -29.52 58.2315 15 0 0 0
136 1 -31.98 59.6518 15 0 0 0
215 1 -27.06 55.391 15 0 0 0
216 1 -25.83 56.1011 15 0 0 0
217 1 -28.29 57.5214 15 0 0 0
218 1 -27.06 58.2315 15 0 0 0
219 1 -29.52 59.6518 15 0 0 0
