LAMMPS data file via write_data, version 22 Jul 2025, timestep = 58, units = metal

28558 atoms
2 atom types

-20.943968 226.353968 xlo xhi
-21.09 375.450275 ylo yhi
30 70 zlo zhi

Masses

1 12.011
2 1.008

Atoms # full

1 1 1 0 0 0 50 0 0 0
2 1 1 0 1.2123249215537104 0.739331950927221 50 0 0 0
3 1 1 0 0 2.840563 50 0 0 0
4 1 1 0 2.4748654875030245 0.13885856272676467 50 0 0 0
5 1 1 0 3.689545948092625 0.8317661442525115 50 0 0 0
6 1 1 0 1.2102215798249867 2.1553320689497646 50 0 0 0
7 1 1 0 2.4274748602358085 2.8989206914264605 50 0 0 0
8 1 1 0 0 4.260845 50 0 0 0
9 1 1 0 1.1973320348044683 4.998444765139491 50 0 0 0
10 1 1 0 0 7.101408 50 0 0 0
11 1 1 0 4.933243567796959 0.2077346599203966 50 0 0 0
12 1 1 0 6.151062463229165 0.8819275090257719 50 0 0 0
13 1 1 0 3.6735054181153157 2.2398917532315465 50 0 0 0
14 1 1 0 4.895952577587554 2.955543613468897 50 0 0 0
15 1 1 0 2.433081745825399 4.313975579697372 50 0 0 0
16 1 1 0 3.6550822972275685 5.038492844699703 50 0 0 0
17 1 1 0 1.210114793797566 6.407583473774718 50 0 0 0
18 1 1 0 2.428509643994643 7.1373231071145256 50 0 0 0
22 1 1 0 7.3857574238632395 0.2430161828292544 50 0 0 0
24 1 1 0 6.137569874506962 2.2879771447353514 50 0 0 0
25 1 1 0 7.3638252656639525 2.9878520202058976 50 0 0 0
26 1 1 0 4.89438416793795 4.363612105904236 50 0 0 0
27 1 1 0 6.121586468483998 5.071405259947962 50 0 0 0
28 1 1 0 3.6626571221070754 6.450951522891422 50 0 0 0
29 1 1 0 4.887851569918524 7.165424774845517 50 0 0 0
41 1 1 0 7.359781296486424 4.393898258769948 50 0 0 0
43 1 1 0 6.123830048270852 6.481269551709189 50 0 0 0
44 1 1 0 7.353768107348452 7.184093210440229 50 0 0 0
28057 1 2 0 -0.943968 2.295563 50 0 0 0
28058 1 2 0 2.513335328633721 -0.951608175909348 50 0 0 0
28059 1 2 0 -0.943968 4.805845 50 0 0 0
28060 1 2 0 -0.943968 6.556408 50 0 0 0
28061 1 2 0 4.954792825078558 -0.8832136282040961 50 0 0 0
28064 1 2 0 7.395560681058502 -0.848238173988369 50 0 0 0
28555 1 2 0 0 -1.09 50 0 0 0
28556 1 2 0 -0.943968 0.545 50 0 0 0
23 1 1 0 8.60835314413542 0.9053894468484499 50 0 0 0
37 1 1 0 9.839180873657956 0.2582305160723912 50 0 0 0
38 1 1 0 11.06581031295095 0.9136824625099021 50 0 0 0
39 1 1 0 8.60031890286666 2.311171420761978 50 0 0 0
40 1 1 0 9.828890001406315 3.002682013222566 50 0 0 0
42 1 1 0 8.589881334480307 5.0905651657952795 50 0 0 0
56 1 1 0 12.295621907353768 0.2628819992349518 50 0 0 0
57 1 1 0 13.524850235125415 0.914957601737617 50 0 0 0
58 1 1 0 11.061991321551245 2.319769337232037 50 0 0 0
59 1 1 0 12.292006588521426 3.0074117559938225 50 0 0 0
60 1 1 0 9.825444105664491 4.408080829628246 50 0 0 0
61 1 1 0 11.056601257177388 5.0993143239644 50 0 0 0
62 1 1 0 8.58952316046515 6.498884885843364 50 0 0 0
63 1 1 0 9.821254990674445 7.194810938107322 50 0 0 0
79 1 1 0 14.75485463965869 0.2631409715110811 50 0 0 0
80 1 1 0 15.985322061989423 0.9140793930129343 50 0 0 0
81 1 1 0 13.523442788472652 2.321391997352814 50 0 0 0
